Market,Period,Product,$2,B$2,AP.$2,U2,BU2,AP.U2,E21,BE2,AP.E21,%A1,%$.AP,PRC.E,PRC.BE,ACHY.$,ACHY.U,ACHY.E,%$.AP.YA,ACYAG.PRCE,ACYAG.PRCBE,ACHY.B$,ACHY.AP$,ACHY.BU,ACHY.APU,ACHY.BE,ACHY.E,ACHY.APE,%A1.AY
US.CX,OCT2117.1,NS.083336,11225253,9784262,3198773,1872664,1332219,795428,127211153,104577789,40198726,88,28.5,0.09,0.09,-150043,-64521,-3832182,-8.53,0,0,815443,-1012539,102952,-139360,9580334,-3832182,-14291756,1
US.CX,OCT2817.1,NS.083336,11596301,9755627,3864899,1940631,1325628,914819,133572793,104299157,48491545,88,33.33,0.09,0.09,1323167,348931,19221440,2.84,0,0,783857,732648,98239,331694,9304557,19221440,10463227,-1
US.CX,NOV0417.1,NS.083336,11991897,9821147,4037585,1913290,1335080,847479,135501351,104938841,48689534,87,33.67,0.09,0.09,1483714,422245,19880940,5.07,0,0,868287,1032057,110802,414902,10204725,19880940,12779816,0
US.CX,NOV1117.1,NS.083336,11769645,9834426,3640613,1779517,1335765,659140,130709533,105051807,43377392,88,30.93,0.09,0.09,1287154,226811,17172689,3.21,0,0,829566,734782,109408,172464,9813595,17172689,10777313,0
US.CX,OCT2117.1,NS.164106,854107,647262,379089,177736,98950,106224,5895185,3753003,3086160,67,44.38,0.14,0.17,140869,57313,645299,19.29,0.01,0.02,55967,200132,6022,69866,-255014,645299,1456204,6
US.CX,OCT2817.1,NS.164106,1155735,645104,693525,256517,98979,187796,8374381,3741740,5653108,66,60.01,0.14,0.17,453378,134188,3307256,34.15,0,0.02,52126,511920,6793,147252,-274220,3307256,4117997,3
US.CX,NOV0417.1,NS.164106,785629,646370,303750,138125,98697,67476,5047825,3734110,2197354,65,38.66,0.16,0.17,44009,21551,-486372,12.12,0.02,0.03,60796,106917,7895,36649,-241935,-486372,386530,3
US.CX,NOV1117.1,NS.164106,786299,649971,262597,135760,100225,56783,4908034,3746296,1834806,67,33.4,0.16,0.17,53115,15841,-430905,6.13,0.02,0.03,61895,62719,9216,20246,-241166,-430905,171222,4
US.CX,OCT2117.1,NS.080678,134668534,116134217,45785048,18558469,13487028,8497308,1034187184,838647929,403841960,99,34,0.13,0.14,3112311,914227,13451544,2.74,0,0,2636852,4661163,109549,1319291,13475833,13451544,22898026,0
US.CX,OCT2817.1,NS.080678,134390399,116808490,53708449,18216358,13550979,8941679,1030262703,843142306,450714290,99,39.96,0.13,0.14,3862019,1531528,34709044,3.4,0,0,2520886,5981303,134902,2154913,12139920,34709044,40257211,0
US.CX,NOV0417.1,NS.080678,141672963,117068140,57362352,18349717,13555706,8594818,1094182283,847074537,480215561,99,40.49,0.13,0.14,-4526220,-623622,-44418154,0.6,0,0,3252217,-954214,279914,173480,23073343,-44418154,-21603573,0
US.CX,NOV1117.1,NS.080678,138619436,118649804,55045168,18160535,13784752,8325896,1074660186,862373317,468858830,99,39.71,0.13,0.14,764849,351666,35268357,1.69,0,0,3802994,2636087,464876,865679,30180013,35268357,46276031,0
US.CX,OCT2117.1,NS.080748,100716703,85090879,37426783,14700626,10216257,7183428,860384332,680280351,365682567,99,37.16,0.12,0.13,2986065,830265,17998009,2.33,0,0,2610182,3383138,150305,1038148,17756711,17998009,19021719,0
US.CX,OCT2817.1,NS.080748,100214627,85355953,42911044,14299699,10247997,7404743,852711051,682358708,395599259,99,42.82,0.12,0.13,3492222,1336813,36072668,4.17,0,0,2235728,5532829,151538,1808288,14189864,36072668,39523463,0
US.CX,NOV0417.1,NS.080748,104757937,85719440,45009431,14121732,10257573,6843876,902100008,686878865,416444616,99,42.97,0.12,0.12,-869081,-292911,-24834212,2.06,0,0,2740533,1797500,253801,284666,23517341,-24834212,-9248146,0
US.CX,NOV1117.1,NS.080748,102806237,87018277,44308460,14178279,10453889,6928645,887770510,700540132,413309864,99,43.1,0.12,0.12,1811065,537223,41970840,2.93,0,0,3228923,3734749,415099,973016,30418627,41970840,52393453,0
US.CX,OCT2117.1,NS.163589,22750127,20118225,7410023,2556746,2007733,1191937,90867830,77771159,30470457,97,32.57,0.25,0.26,1433126,229178,4707961,5.18,0,0,1390957,1570967,99638,300666,4688817,4707961,5909090,0
US.CX,OCT2817.1,NS.163589,23014011,20343080,9054202,2626120,2025595,1368329,93862006,78762416,39790190,97,39.34,0.25,0.26,1597425,323449,6854433,1.5,0,0,1374549,949439,100108,353139,4791082,6854433,4046113,0
US.CX,NOV0417.1,NS.163589,24981621,20272254,9942804,2860067,2024209,1509346,100726987,78239345,41873730,97,39.8,0.25,0.26,-2065522,-143705,-9251002,-6.3,0,0,1456889,-2525703,124764,-121327,5208498,-9251002,-11487695,0
US.CX,NOV1117.1,NS.163589,23818845,20425184,8540170,2606899,2042563,1202004,95175520,79021265,35637479,97,35.85,0.25,0.26,-108863,-85143,-1462087,-3,0,0,1544830,-756237,141257,-105058,5708042,-1462087,-4530250,0
US.CX,OCT2117.1,NS.083409,14535693,12012147,7069932,1660863,1192755,946956,88800816,69954759,45059086,91,48.64,0.16,0.17,2411758,451649,15673849,21.5,0,0,855516,3779348,131020,564776,4034696,15673849,24311080,1
US.CX,OCT2817.1,NS.083409,13837627,12168545,7223674,1529828,1205540,907280,85331276,71013716,46312349,92,52.2,0.16,0.17,1431855,294814,8646125,16.45,0,0,875142,2788777,127770,439901,4324627,8646125,15756768,1
US.CX,NOV0417.1,NS.083409,14673535,12308066,8522208,1609266,1214796,1049225,92683108,72015395,56297664,92,58.08,0.16,0.17,761303,135028,5140643,17.5,0,0,1101581,2877218,134462,369674,5826214,5140643,16913329,1
US.CX,NOV1117.1,NS.083409,14564063,12724462,8133997,1656189,1256032,1044128,93696681,74863880,55500566,92,55.85,0.16,0.17,663430,103731,5947528,13.76,0,0,1301337,2283245,157584,286207,7332808,5947528,14560499,0
